"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40833","test_card_payment_50k_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","15842","test_cash_payment_with_receipt_and_refund","tests","2026-04-28","broken","2026-04-28","","test_cash_receipt","",""
"","35375","test_cash_payment_50k_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","54098","test_card_payment_over_50k_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","41858","test_card_payment_50k_installment_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","38146","test_card_payment_under_50k_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","35332","test_cash_payment_under_50k_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","54087","test_card_payment_over_50k_installment_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","36017","test_cash_payment_over_50k_and_refund","tests","2026-04-28","passed","2026-04-28","","test_refund","",""
"","15726","test_cash_payment_with_business_receipt_and_refund","tests","2026-04-28","broken","2026-04-28","","test_cash_receipt","",""
